Player,Pos,90s,PrgC,PrgP,PrgR,Succ Takeons,Attakcking Third Carries,Long Passes Cmp,xA,Pass Cmp%,Pass PrgDist,TklW,Blocks,Int,Recov
Max Aarons,DF,10.6,16,31,19,10,11,27,0.8,75.3,2054,15,9,5,62
Brenden Aaronson,MF,3.2,2,9,17,1,3,2,0.4,74.7,220,5,8,0,17
Paxten Aaronson,MF,0.5,2,5,3,0,0,0,0,79.2,53,1,1,0,2
Yunis Abdelhamid,DF,12,14,57,2,6,6,54,0.4,83.5,3815,14,22,11,79
Salis Abdul Samed,MF,9.4,5,49,14,4,23,29,0.9,89.1,1840,8,4,4,50
Laurent Abergel,MF,12,10,57,9,19,12,66,0.6,86.6,3303,18,16,31,92
Matthis Abline,FW,3.5,4,4,29,4,2,3,0.5,79.4,121,0,1,0,8
Abner,DF,5.8,5,11,29,3,4,14,0.7,78.5,1549,6,13,6,35
Zakaria Aboukhlal,"MF,FW",4.2,12,12,35,4,9,3,0.2,71.1,336,1,3,1,8
Abdel Abqar,DF,10,1,22,0,2,4,37,0.1,73.7,2216,3,11,8,43
Francesco Acerbi,DF,9,7,26,11,2,5,44,0.8,88.2,2649,5,5,15,39
Marcos Acuña,DF,4.6,11,19,14,3,9,35,0.7,77,1623,8,3,4,35
Bénie Adama Traore,"FW,MF",3.6,7,9,13,5,5,1,0.4,76.6,151,2,3,1,18
Akor Adams,FW,9.7,19,5,58,7,11,5,0.7,68.1,250,3,1,2,18
Junior Adamu,"FW,MF",0.9,0,0,5,0,0,0,0,57.9,15,1,0,0,5
Sargis Adamyan,"FW,MF",1.6,4,5,19,1,2,0,0.4,77.8,134,2,2,0,8
Tosin Adarabioyo,DF,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Elijah Adebayo,FW,4.3,4,7,27,4,6,2,0.2,73.3,159,0,2,3,12
Karim Adeyemi,"FW,MF",3.6,14,11,30,6,6,4,1,75,313,5,5,2,24
Simon Adingra,"FW,MF",7.4,24,13,65,17,13,11,0.6,79.9,570,9,8,10,40
Amine Adli,MF,1.7,11,8,28,3,7,3,0.8,77.6,245,0,3,2,5
Yacine Adli,MF,3.3,6,33,3,6,8,35,0.3,84.5,1380,6,4,6,18
Adson,"MF,FW",2.3,13,11,13,4,6,8,0.2,89.1,318,5,5,2,9
Michel Aebischer,MF,10.7,12,55,9,6,7,38,0.5,93,2921,12,15,9,54
Emmanuel Agbadou,DF,7.7,17,52,7,2,6,58,0.3,87.3,2842,13,12,16,71
Lucien Agoume,MF,0.1,0,0,0,0,1,0,0,100,7,0,0,0,0
Felix Agu,DF,0,1,2,1,0,0,0,0.1,76.9,64,0,0,0,1
Nayef Aguerd,DF,10.7,7,27,0,1,4,78,0.1,79.6,4574,4,20,13,48
Ruben Aguilar,DF,6.7,15,47,75,5,10,12,2.3,79.5,1886,8,11,10,28
Naouirou Ahamada,"MF,FW",0.9,7,7,9,2,2,1,0,75,165,2,0,1,8
Anel Ahmedhodžić,DF,8,3,11,10,4,6,16,0.1,74.5,1399,12,17,11,37
Joseph Aidoo,DF,4.5,2,12,0,2,0,19,0,78.4,1187,3,3,4,22
Ola Aina,"DF,MF",7,14,17,6,6,9,11,0.2,70.1,1075,13,8,3,38
Rayan Aït Nouri,"DF,MF",9.7,18,45,38,20,15,18,0.7,82.6,1775,19,13,11,53
Tosin Aiyegun,"MF,FW",5,9,2,16,10,5,8,0.1,78.7,109,4,2,1,11
Kristoffer Ajer,DF,7.1,13,26,24,6,6,19,1.9,75.6,1521,9,5,4,18
Ludovic Ajorque,FW,5.8,1,6,29,0,3,9,0.8,71.4,154,2,3,0,18
Manuel Akanji,"DF,MF",9,13,40,9,1,13,34,0.6,93.6,3133,9,12,9,45
Marley Aké,FW,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Aké,DF,6.1,10,37,8,0,9,15,0.3,92.1,1919,6,4,5,35
Ilias Akhomach,"MF,FW",3.6,12,7,34,7,9,3,0.2,83.8,245,9,4,2,14
Sergio Akieme,DF,10,17,18,43,14,17,31,0.6,80.1,1810,7,7,5,47
Maghnes Akliouche,MF,3.9,5,22,37,10,5,7,0.4,81.7,649,1,2,2,27
Paul Akouokou,MF,0.3,0,1,0,0,0,1,0,94.1,65,3,3,1,0
Paul Akouokou,MF,1.9,0,8,1,1,1,8,0,85.3,480,5,4,4,17
Jean-Daniel Akpa-Akpro,MF,0.2,0,1,3,0,0,0,0,83.3,17,0,0,0,4
Kevin Akpoguma,DF,4.8,4,22,5,1,3,29,0.2,84.4,1453,10,13,5,26
David Alaba,DF,10.4,8,42,13,0,10,41,0.8,89.1,3938,8,8,11,57
Luis Alberto,MF,11.2,48,110,47,7,32,53,1.8,78.6,3112,10,21,2,73
Raúl Albiol,DF,9.8,6,27,0,0,1,50,0.1,86.5,3683,6,14,9,30
Rubén Alcaraz,MF,10,10,42,7,4,9,53,0.2,79.5,1816,13,18,9,69
Omar Alderete,"DF,MF",5.8,5,16,2,3,2,30,0.1,65.2,1459,2,11,2,28
Iván Alejo,MF,8,21,13,43,9,15,16,0.7,50.3,616,6,5,2,34
Carles Aleñá,MF,6,4,9,18,2,6,21,0.4,74.6,540,3,8,3,32
Trent Alexander-Arnold,DF,8.6,22,61,27,9,18,81,1.8,77.2,4102,9,4,9,61
Mohamed Ali Cho,"FW,MF",2.7,16,3,18,7,11,1,0.3,57.6,124,3,5,1,16
Yanis Ali Issoufou,FW,0.1,0,0,0,0,0,0,0,0,0,0,0,0,
Faride Alidou,"FW,MF",2.7,11,9,28,4,3,2,0.4,73.3,139,1,4,3,13
Nabil Alioui,"MF,FW",9.1,15,32,57,12,16,25,1.7,63.8,1027,1,6,3,28
Alisson,GK,12,0,1,0,0,0,79,0,85.4,6107,0,0,0,21
Jim Allevinah,"DF,MF",8.8,53,27,57,14,40,9,0.5,78.2,1062,5,10,9,51
Domingos André Ribeiro Almeida,"FW,MF",5.3,13,23,12,7,17,12,0.5,77.4,579,6,4,2,19
Miguel Almirón,FW,8.3,36,32,69,7,19,8,0.3,81.8,678,9,11,6,36
Pontus Almqvist,FW,10.2,42,18,66,20,21,10,0.5,76.8,530,12,12,6,29
Marcos Alonso,DF,1.8,8,9,26,3,7,4,0.3,86.5,385,3,2,4,11
Adrià Altimira,"DF,FW",3.1,5,14,4,7,1,17,0.1,89.2,991,3,6,2,19
Sergi Altimira,MF,1,1,4,2,2,0,4,0,86.3,168,4,3,2,12
Edson Álvarez,MF,8.4,6,25,7,7,5,37,0.1,85.4,1872,9,14,7,47
Gastón Álvarez,DF,10,4,21,7,2,2,34,0.1,67.6,1754,18,17,19,61
Julián Álvarez,"MF,FW",10.9,24,44,67,8,30,25,2.4,77.3,1192,4,10,1,32
Yeray Álvarez,DF,2.1,1,5,2,0,0,11,0,78.6,596,5,2,3,12
Skelly Alvero,MF,3.5,3,21,11,3,4,9,0.1,80.9,614,7,3,0,15
Papa Amadou Diallo,"FW,MF",1.7,2,4,10,0,1,0,0.1,63.4,77,1,1,2,9
Selim Amallah,"MF,FW",3.9,6,12,20,16,11,4,0.2,75,254,9,9,6,17
Amath,"FW,MF",2.9,11,8,12,1,5,1,0.1,65.5,113,4,1,3,10
Lorenzo Amatucci,MF,0.2,1,1,1,0,0,1,0,88.2,47,0,0,0,1
Zeki Amdouni,"FW,MF",8.2,23,16,28,15,12,12,0.4,80.7,434,8,10,3,31
Bruno Amione,DF,2.9,2,6,1,0,2,7,0,82,746,1,1,5,18
Michael Amir Murillo,DF,2.6,3,10,5,2,3,8,0.2,85.1,652,3,1,3,11
Nadiem Amiri,"MF,FW",0.1,2,1,2,1,0,0,0,55.6,13,0,0,0,2
Sofyan Amrabat,"MF,DF",3.5,4,36,4,0,4,30,0.2,87.6,1183,7,5,3,17
Joachim Andersen,DF,12,12,69,5,7,6,104,0.7,82.9,5082,11,14,13,54
Elliot Anderson,"MF,FW",4.6,14,26,33,8,11,5,0.3,83.1,428,6,6,2,18
Felipe Anderson,FW,9.9,34,40,77,12,17,17,2.1,75.7,1346,13,15,13,43
Benjamin André,MF,12,7,70,13,4,20,49,1.3,82.4,3004,26,12,16,100
Komnen Andrić,FW,1.4,0,5,20,1,3,1,0.1,73.3,68,1,2,0,3
Robert Andrich,MF,1.7,1,11,5,0,3,9,0.1,87.5,485,0,4,4,8
Miguel Ángel Rubio,DF,6.2,1,8,0,1,3,25,0,77.9,1680,4,13,12,34
Fabrizio Angileri,"DF,FW",0.8,1,3,4,1,2,4,0.2,71.8,111,0,0,1,9
Jaidon Anthony,FW,1.7,2,8,9,2,2,1,0,66.7,139,1,3,1,11
Waldemar Anton,DF,11,15,67,6,5,7,39,0.6,87.6,4981,8,11,15,65
Michail Antonio,FW,9,25,10,46,17,10,6,1.2,59.2,346,4,9,1,23
Antony,"FW,MF",5.4,20,25,71,7,13,6,0.8,76.1,527,3,13,6,40
Christopher Antwi-Adjei,"FW,MF",4.7,16,9,43,2,7,10,1.3,62.2,395,3,4,0,10
Houssem Aouar,MF,4.7,12,14,16,4,11,11,0.4,81.6,548,9,4,4,28
Stredair Appuah,FW,0.3,1,0,0,2,0,0,0,66.7,1,0,0,0,0
Mauro Arambarri,MF,3.8,2,20,6,2,6,18,0.1,80.3,646,2,1,2,27
Julian Araujo,DF,6.6,11,27,18,2,3,19,0.3,80.8,1637,9,7,6,28
Ronald Araújo,DF,6.4,16,44,8,2,10,42,1.2,87.4,2470,7,5,4,34
Cameron Archer,FW,7.9,8,7,40,9,11,1,0.3,84.4,161,2,9,1,23
Cameron Archer,MF,0.1,1,0,0,0,1,0,0,83.3,0,0,0,0,1
Alphonse Areola,GK,12,0,1,0,0,1,87,0,66.3,4851,0,0,0,6
Adu Ares,FW,0.3,2,0,4,1,0,1,0,75,18,2,0,0,1
Jesús Areso,DF,8.1,21,34,48,11,19,21,1.1,76.6,1980,9,14,7,43
José Arnaiz,"FW,MF",3.1,3,1,23,1,6,5,0.3,76.1,153,0,4,1,16
Hákon Arnar Haraldsson,"FW,MF",3.5,4,14,19,6,4,5,0.6,76.1,393,3,0,1,16
Marko Arnautović,FW,1.4,3,5,12,1,1,0,0.7,73.6,62,1,1,0,5
Maximilian Arnold,MF,8.7,9,40,7,0,1,59,0.8,83.2,2089,8,6,11,57
Mohamed El Arouch,FW,0,0,0,0,1,0,0,0,100,22,0,0,0,1
Sergio Arribas,"MF,FW",8.4,18,25,29,7,12,7,0.4,76.1,556,5,4,5,29
Kepa Arrizabalaga,GK,10,0,0,0,0,0,53,0,84.3,4356,0,0,0,11
Arthur,DF,0.4,2,2,4,0,2,4,0,90.9,56,2,0,0,3
Takuma Asano,"FW,MF",9.3,20,18,53,9,11,4,0.4,67.6,314,2,4,2,31
Marco Asensio,FW,2.6,11,16,24,2,6,3,0.7,88.4,393,1,3,0,7
Kristjan Asllani,MF,1,0,3,2,0,0,7,0,80.3,267,0,1,3,8
Joel Asoro,"FW,MF",5.2,7,8,23,8,8,7,0.1,60.8,231,7,4,2,18
Iago Aspas,FW,11.1,27,56,60,15,22,38,3.3,73.1,1732,1,6,4,39
Lorenz Assignon,DF,10.6,26,47,59,10,17,32,1.3,86.4,2311,12,8,7,62
Youcef Atal,DF,4,9,15,5,11,14,14,0.4,89.9,832,3,7,4,28
Valentin Atangana Edoa,MF,1.7,1,5,1,0,3,3,0,86,110,5,2,2,11
Arthur Atta,MF,1.3,4,7,3,0,3,6,0,74.5,183,2,2,1,5
Noah Atubolu,GK,11,0,0,0,0,0,100,0,69.8,6488,0,0,0,21
Pierre-Emerick Aubameyang,FW,9.1,18,21,52,4,11,5,1.4,71.2,469,3,6,3,24
Tommaso Augello,DF,8.8,26,30,34,5,11,29,0.7,69.5,2439,5,4,4,49
Yann Aurel Bisseck,DF,0.1,0,0,0,0,0,1,0,100,6,0,0,0,0
Serge Aurier,"DF,MF",8.3,10,36,25,2,15,13,0.4,76.2,1647,10,10,7,42
Ezequiel Ávila,FW,6.8,11,30,55,2,10,42,2.1,61.9,1035,1,10,4,26
Taiwo Awoniyi,FW,7.4,6,10,27,6,5,1,0.4,70.9,200,3,3,0,27
Jordan Ayew,"FW,MF",11.3,34,27,86,26,27,7,1.3,74.8,633,13,13,8,68
Neil El Aynaoui,MF,1.5,2,13,5,3,3,0,0.1,84.4,254,2,1,1,18
Sardar Azmoun,"FW,MF",0.9,0,2,5,1,1,0,0.1,55.6,54,3,0,1,6
César Azpilicueta,DF,6.5,17,32,19,0,10,20,1.1,84,2242,7,9,6,41
Paulo Azzi,"DF,MF",4.2,17,16,19,5,18,7,0.1,66.7,725,5,4,6,23
Oussama El Azzouzi,MF,2.2,2,6,6,0,1,12,0.1,90.8,534,3,3,4,23
Iddrisu Baba,MF,8.2,0,31,3,7,2,33,0.4,84.6,1519,15,5,9,63
Srđan Babić,DF,1,1,6,0,0,1,8,0,93.5,388,2,1,0,4
Aliou Badara Baldé,FW,0.4,0,0,0,1,1,0,0,60,2,0,0,1,1
Loïc Bade,DF,9,5,34,0,2,3,44,0.3,80.6,3019,11,11,15,54
Milan Badelj,MF,6.8,3,27,2,3,3,20,0.1,80.2,1380,4,11,14,54
Matthias Bader,DF,7.7,14,27,24,8,10,28,2.5,73.3,1625,8,10,14,54
Alex Baena,"MF,FW",8.8,24,46,47,4,23,44,2.7,74.2,1835,6,6,4,37
Jaime Báez,"FW,MF",5,8,26,34,5,4,15,0.8,69.3,822,1,5,4,27
Leon Bailey,"MF,FW",3.8,21,12,47,10,8,14,1.9,69.6,490,0,2,5,24
Nedim Bajrami,"MF,FW",6.1,18,23,22,7,8,7,0.7,75.3,598,1,2,4,26
Tiemoué Bakayoko,MF,3.1,2,6,4,0,0,8,0,85.1,518,6,3,5,25
Mitchel Bakker,DF,1.2,6,4,8,4,4,2,0.1,77.5,222,1,3,0,9
Ridle Baku,DF,5.4,8,23,43,4,10,23,0.9,75.8,1195,4,7,7,42
Dilane Bakwa,FW,5.6,12,8,42,8,12,13,0.3,72.7,351,4,1,4,22
Tommaso Baldanzi,"MF,FW",6.8,17,26,30,6,13,13,0.8,80.4,590,2,6,2,25
Alejandro Balde,DF,10,47,27,83,17,28,17,1.1,84.5,1589,7,11,5,48
George Baldock,"DF,MF",5,3,17,16,5,1,11,0.1,73.9,916,4,5,4,25
Carlos Baleba,MF,3,2,8,1,2,2,7,0,91.6,278,5,10,6,21
Carlos Baleba,MF,0.7,1,3,1,0,1,4,0,86.7,100,2,0,2,2
Leonardo Balerdi,DF,5.2,4,21,1,0,3,22,0.1,86,1729,7,11,10,34
Iván Balliu,DF,11,17,30,33,4,6,29,0.8,73.5,2614,7,13,13,58
Folarin Balogun,FW,5.6,10,11,64,8,6,3,1,71.8,199,1,2,2,19
Jonathan Bamba,"MF,FW",12.3,58,35,94,25,29,7,2,75.1,1053,5,12,7,53
Lameck Banda,FW,6.1,34,11,57,13,15,7,0.5,75,342,7,4,1,37
Mamady Bangré,"FW,MF",1,8,7,9,1,4,0,0.5,79.3,186,1,0,3,9
Mattia Bani,DF,10,3,11,1,1,1,45,0,81.6,2576,3,22,7,49
Léo Baptistão,"FW,MF",4.6,1,7,12,1,5,3,0,57.3,203,3,4,2,15
Shandon Baptiste,MF,0.2,0,0,0,0,0,1,0,66.7,42,0,1,0,1
Antonín Barák,MF,1.2,4,3,13,1,5,4,0,76.7,110,1,2,0,10
Francisco Barbosa,GK,1.5,0,0,0,0,0,9,0,72.7,542,0,0,0,0
Bradley Barcola,FW,3,11,9,31,8,6,2,0.4,77.8,275,2,4,2,11
Bradley Barcola,"MF,FW",3.8,18,18,64,9,14,4,0.7,79.1,477,6,6,4,19
Melvin Bard,DF,11.1,29,49,32,16,33,31,1.5,82.8,2819,15,22,18,74
Nicolò Barella,MF,9.9,27,101,37,8,23,49,1.5,84.9,3369,10,6,4,57
Kike Barja,"FW,MF",2.7,14,5,30,8,7,7,0.3,73.1,164,2,1,1,14
Ross Barkley,MF,4.9,8,25,5,9,6,16,0.4,79.5,852,5,5,6,38
Aymen Barkok,"MF,DF",2.6,9,9,23,1,2,6,0.4,64.2,467,5,3,1,9
Harvey Barnes,FW,2.1,15,5,16,3,2,1,0.6,74.6,120,0,0,1,6
Leandro Barreiro Martins,MF,10.9,8,36,15,6,4,24,0.4,76.1,1332,17,20,22,65
Enzo Barrenechea,MF,10.1,1,47,8,3,5,45,0.2,88.7,2137,15,14,9,81
Ander Barrenetxea,"FW,MF",8.2,28,13,82,18,24,11,0.5,69.9,649,4,7,4,43
Pablo Barrios,MF,5.3,15,36,13,15,15,15,0.4,82,1152,7,8,11,42
Davide Bartesaghi,"DF,FW",0.3,0,1,2,0,0,1,0,85.7,80,0,0,0,2
Marc Bartra,DF,2.5,2,5,0,2,3,13,0,85.6,620,3,3,3,15
Federico Baschirotto,DF,10.6,11,36,2,0,6,53,0.2,84.9,2857,4,16,7,47
Chris Basham,"DF,MF",3.6,1,7,6,3,4,6,0.1,74.6,484,2,9,5,16
Calvin Bassey,DF,5.4,2,5,4,3,3,29,0,80.1,1501,7,8,10,41
Alessandro Bastoni,DF,8.3,18,36,30,3,16,73,1.4,85.7,3401,12,6,7,40
Simone Bastoni,"DF,MF",1.8,4,4,8,1,5,8,0.1,68.9,387,7,3,6,14
Maximilian Bauer,DF,5.3,0,11,0,1,1,14,0,85.3,1497,5,8,6,17
Oliver Baumann,GK,11,0,0,0,0,0,107,0,71.5,6992,1,0,0,35
Christoph Baumgartner,"MF,FW",3.2,7,11,18,3,6,5,0.6,75,293,4,5,1,9
Bebé,"MF,FW",0.7,7,3,10,6,7,5,0.3,63.2,160,2,0,0,6
Ihlas Bebou,"FW,DF",5.6,10,9,41,5,10,7,0.3,69.6,681,5,4,6,27
Adrian Beck,MF,4.3,4,8,14,6,3,9,0.2,78,279,5,4,2,18
Sheraldo Becker,"FW,MF",6.5,30,15,70,5,16,16,1.5,66,644,3,2,0,43
Donny van de Beek,DF,0,0,0,1,0,0,0,0,100,0,0,1,0,0
Yanis Begraoui,"MF,FW",3,8,7,24,6,5,0,0.1,70.2,166,2,4,5,10
Kevin Behrens,FW,8.8,4,27,52,3,10,12,0.5,64.3,475,8,4,2,25
Maximilian Beier,FW,8.1,16,10,56,12,7,1,0.5,63.5,186,0,5,0,15
Jérémie Bela,MF,0.4,4,4,5,0,3,0,0.1,72.7,92,0,0,0,1
Amari'i Bell,DF,6.2,6,20,3,3,8,16,0.1,73.5,1122,13,9,5,28
Stefan Bell,DF,6.4,0,18,2,2,1,26,0.3,80,2157,8,5,5,34
Raoul Bellanova,DF,10.1,51,34,60,8,18,36,0.6,74.9,1668,7,6,8,43
Jean-Ricner Bellegarde,MF,2.4,11,10,7,7,10,4,0.1,69.2,231,2,7,1,9
Jean-Ricner Bellegarde,"MF,FW",3,9,11,10,8,7,5,1.1,69.8,298,3,4,4,19
Héctor Bellerín,DF,9,17,45,41,9,14,22,0.8,75.7,2498,7,7,12,46
Jude Bellingham,MF,10.5,35,68,70,21,27,18,1.5,87.2,1457,13,29,9,48
Jeanöel Belocian,DF,6.3,9,31,24,1,12,37,0.2,88.5,1515,9,3,8,36
Andrea Belotti,"FW,DF",5.3,11,7,34,5,7,5,0.4,76.3,175,4,4,0,9
Fran Beltrán,MF,10,9,41,7,6,10,21,0.5,85.9,1593,7,7,8,59
Lucas Beltrán,FW,4.1,1,5,33,5,1,2,0.2,76,124,5,8,0,6
Eliesse Ben Seghir,"MF,DF",0.4,3,1,3,1,3,1,0,85.7,48,0,1,0,3
Anis Ben Slimane,MF,1.2,0,6,9,0,6,3,0.1,64.8,171,1,1,1,17
Wissam Ben Yedder,FW,9.9,13,35,80,7,6,6,2.3,75.8,658,3,6,3,25
Carlos Benavídez,MF,3.4,3,15,1,1,1,7,0.1,58.8,445,10,4,7,20
Saïd Benrahma,"FW,MF",4.8,22,19,55,9,13,6,0.7,76.1,356,1,6,3,31
Ramy Bensebaini,DF,7.2,10,47,31,9,15,32,0.4,82.6,2265,13,13,8,52
Nabil Bentaleb,MF,3.8,1,20,2,3,5,21,0.1,81.4,825,7,8,7,25
Rodrigo Bentancur,"MF,FW",0.7,0,2,0,2,2,1,0,76.5,75,2,3,0,1
Domenico Berardi,"FW,MF",9.9,22,47,80,7,17,43,2.1,64.9,1265,6,8,8,40
Yuri Berchiche,DF,6.5,7,42,25,2,12,22,0.5,77.8,1970,7,6,6,34
Álex Berenguer,FW,4.6,14,8,53,6,9,14,1.5,63.2,519,4,5,1,20
Bartosz Bereszyński,DF,3.9,9,18,8,2,5,7,0.1,82.4,925,5,1,3,21
Jóhann Berg Guðmundsson,"MF,FW",4.8,4,21,25,2,4,24,1.2,80.3,878,2,2,8,20
Sander Berge,MF,8.8,11,31,16,6,14,27,0.2,86.6,1009,6,16,6,44
Etrit Berisha,GK,10,0,0,0,0,0,70,0,69.9,4457,0,0,0,15
Mergim Berisha,FW,1.6,2,3,13,2,1,1,0.1,66.7,91,0,2,0,8
Mergim Berisha,FW,1.4,3,1,5,0,1,1,0.1,71.4,73,0,1,0,1
Bernardo,DF,11,8,29,9,2,9,47,0.2,74.3,2931,21,27,21,70
Victor Bernth Kristiansen,DF,5.7,4,19,21,3,1,11,0.5,80.4,1205,8,11,2,17
Matúš Bero,MF,4,2,6,16,1,4,6,0.1,70.5,331,5,2,1,21
Luke Berry,MF,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-Niklas Beste,"FW,MF",9.4,22,17,45,9,17,37,2,59,1352,10,19,7,39
Beto,FW,3.3,5,7,21,9,4,2,0.1,53.7,111,5,5,0,15
Beto,FW,0.8,0,2,5,2,0,0,0,90.9,26,0,0,0,0
Sam Beukema,DF,11,4,25,1,2,2,53,0.1,89.8,4786,8,13,7,70
Jordan Beyer,DF,7.5,5,14,0,2,7,29,0,90.3,2305,12,10,11,34
Jaka Bijol,DF,12,4,32,0,0,1,60,0.3,79.8,3832,16,16,14,52
Philip Billing,MF,10.3,12,32,24,5,13,22,1.1,78.6,1160,13,23,13,53
Cristiano Biraghi,DF,6.5,21,32,36,3,21,36,0.3,73.9,2098,8,9,4,31
Davide Biraschi,DF,1,0,5,4,1,2,7,0,83.8,308,3,0,2,4
Samuele Birindelli,"DF,MF",5.2,13,15,42,3,9,18,1.3,85.4,806,5,9,6,14
Tom Bischof,"MF,FW",1.3,2,13,8,1,3,4,0.6,79.7,383,4,1,1,7
Yves Bissouma,MF,9.8,27,68,5,21,19,26,1.1,91.8,3135,22,14,18,60
Leonardo Bittencourt,MF,4.3,17,18,17,4,14,13,0.7,79,662,8,6,4,32
Marco Bizot,GK,11,0,1,0,0,0,121,0,72.5,7054,0,0,0,8
Antonio Blanco,MF,7.5,8,43,8,6,4,17,0.4,77.5,1578,12,5,9,56
Rubén Blanco,GK,0.3,0,1,0,0,0,4,0,58.3,270,0,0,0,0
Ludovic Blas,"FW,MF",8.7,14,26,72,13,10,15,0.7,78.3,796,5,11,2,48
Janis Blaswich,GK,11,0,3,0,0,0,93,0,85.2,5635,1,0,0,25
Alexis Blin,"MF,DF",3,1,7,2,0,0,9,0.1,79.5,447,2,3,3,16
Daley Blind,DF,12,23,90,12,5,18,41,0.8,89.5,5311,6,14,9,55
Myron Boadu,"FW,DF",0.7,3,1,8,0,1,1,0,61.5,23,2,1,0,3
Oscar Bobb,"MF,FW",0.6,4,7,6,3,2,1,0.8,87.5,123,0,1,0,4
Jeremie Boga,FW,6.9,34,25,55,21,24,13,1.2,78.3,707,3,7,1,34
Jayden Bogle,DF,7.3,8,11,21,3,4,10,0.2,70.7,820,5,8,9,34
Emil Bohinen,MF,4.6,7,19,9,5,7,13,0.1,79.6,848,6,6,11,39
Daniel Boloca,MF,10.4,14,48,9,16,17,48,0.3,93.8,2333,14,13,10,81
Willy Boly,DF,8.5,2,17,1,1,2,21,0.4,77.4,2353,15,16,16,45
Giacomo Bonaventura,MF,10,23,54,33,11,24,30,2.2,82.8,1492,5,9,4,48
Federico Bonazzoli,"FW,MF",5.7,6,14,44,4,6,17,0.2,78.2,290,0,3,2,14
Warren Bondo,MF,1.7,4,8,1,2,4,1,0,80.3,206,3,2,2,14
Victor Boniface,FW,10.5,34,23,102,35,19,12,2.1,70.9,472,3,1,0,22
Kevin Bonifazi,DF,1,0,1,1,0,0,7,0,87.8,518,0,0,0,8
Leonardo Bonucci,DF,4.9,0,21,1,1,0,29,0.1,76.7,1784,5,5,7,31
Ângelo Borges,"FW,MF",6.4,18,21,40,18,24,16,1.5,68.4,886,7,7,4,43
Neto Borges,DF,7,22,22,70,7,16,19,0.6,81.4,1595,9,4,16,42
Yvandro Borges Sanches,"MF,FW",0.2,1,0,0,0,0,1,0,70,10,0,0,0,2
Sebastiaan Bornauw,DF,2.9,1,8,1,1,3,15,0,88.4,1033,2,7,3,18
Rafael Borré,FW,4.8,8,11,34,4,3,5,0.7,76.9,282,4,0,1,11
Gennaro Borrelli,FW,0.3,1,0,1,0,0,0,0,0,0,0,0,0,0
Adri Bosch,DF,0.3,1,1,1,0,0,3,0,78.6,61,1,0,0,2
Erik Botheim,"FW,MF",3.5,3,5,9,1,1,1,0.1,73.8,76,0,3,0,7
Sven Botman,DF,5,0,9,2,0,2,26,0.3,92.3,2275,5,4,4,31
Ayyoub Bouaddi,MF,0.3,0,0,0,0,0,0,0,100,41,1,1,1,4
Badredine Bouanani,FW,1.3,8,0,19,3,6,7,0.2,75.9,137,2,4,2,7
Hicham Boudaoui,MF,6.8,12,24,20,8,7,8,0.3,84.9,689,8,4,4,31
Yassine Bounou,GK,1,0,0,0,0,0,9,0,64.5,573,0,0,0,0
Mehdi Bourabia,"MF,FW",0.4,0,3,3,0,0,1,0,73.1,76,0,0,0,6
Benjamin Bourigeaud,MF,10.9,11,84,49,3,17,74,1.7,79.7,3131,9,10,7,42
Bilal Boutobba,"MF,FW",1.6,2,7,21,3,5,5,0.3,62.2,287,3,2,2,13
Edoardo Bove,"MF,DF",7.5,6,25,18,4,7,16,0.3,81.7,962,11,11,5,38
Jarrod Bowen,FW,12,26,17,67,19,10,10,1.3,69.2,621,11,14,9,43
Lucas Boyé,FW,8.3,10,19,29,24,20,7,0.4,73.7,370,6,11,2,35
Domagoj Bradarić,DF,9.5,20,21,43,3,15,17,0.2,73.8,1879,10,7,10,48
Bilal Brahimi,FW,0.1,1,0,6,0,0,0,0,76.9,50,0,0,0,2
Bilal Brahimi,"MF,FW",1.1,7,3,10,5,5,1,0.2,61.5,117,0,1,0,7
Juan Brandáriz,DF,10.5,6,21,2,3,6,22,0.1,88,2517,7,16,5,39
Julian Brandt,"MF,FW",8.5,26,31,79,10,17,38,2.9,74.5,1209,4,8,3,43
Jarrad Branthwaite,DF,10,0,21,1,1,3,28,0.4,78.8,2305,10,18,17,75
Lilian Brassier,DF,9.7,5,31,0,3,3,85,0.3,78,3276,8,10,18,71
Claudio Bravo,GK,7,0,1,0,0,0,56,0.1,80.9,3322,0,0,0,14
Tim Breithaupt,MF,2.7,0,3,1,0,1,2,0.1,76,293,2,4,1,17
Josip Brekalo,FW,5.4,8,21,55,7,7,24,0.6,81.8,750,6,7,1,21
Gleison Bremer,DF,11.9,1,26,2,1,1,47,0.4,86,3851,12,11,16,66
Ben Brereton,"FW,MF",2.5,5,12,31,2,9,3,0.2,79,186,2,0,0,11
Marco Brescianini,MF,4.6,6,13,17,3,7,10,0.2,81.3,474,1,4,3,19
Maximilian Breunig,FW,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0
Rhian Brewster,FW,1.8,1,1,11,0,4,0,0,64.7,46,1,1,0,3
Armando Broja,FW,1.4,4,2,10,3,1,0,0,87.5,18,0,0,0,4
Andre Brooks,"MF,FW",0.2,0,0,2,0,0,1,0,85.7,77,0,1,1,1
